"EventID","Metric","Value"
5618,"TOTAL",105
5618,"BENT_NTAX",12
5618,"BENT_SUM",42
5618,"BENT_PROP",0.4
5618,"CYPR_NTAX",4
5618,"CYPR_SUM",31
5618,"CYPR_PROP",0.295238095238095
5618,"MODTOL_NTAX",4
5618,"MODTOL_SUM",26
5618,"MODTOL_PROP",0.247619047619048
5618,"TOLBENT_NTAX",7
5618,"TOLBENT_SUM",33
5618,"TOLBENT_PROP",0.314285714285714
5618,"COTTID_NTAX",0
5618,"COTTID_SUM",0
5618,"COTTID_PROP",0
5620,"TOTAL",330
5620,"BENT_NTAX",9
5620,"BENT_SUM",204
5620,"BENT_PROP",0.618181818181818
5620,"CYPR_NTAX",5
5620,"CYPR_SUM",160
5620,"CYPR_PROP",0.484848484848485
5620,"MODTOL_NTAX",2
5620,"MODTOL_SUM",44
5620,"MODTOL_PROP",0.133333333333333
5620,"TOLBENT_NTAX",6
5620,"TOLBENT_SUM",158
5620,"TOLBENT_PROP",0.478787878787879
5620,"COTTID_NTAX",0
5620,"COTTID_SUM",0
5620,"COTTID_PROP",0
5624,"TOTAL",115
5624,"BENT_NTAX",9
5624,"BENT_SUM",66
5624,"BENT_PROP",0.573913043478261
5624,"CYPR_NTAX",7
5624,"CYPR_SUM",52
5624,"CYPR_PROP",0.452173913043478
5624,"MODTOL_NTAX",3
5624,"MODTOL_SUM",7
5624,"MODTOL_PROP",0.0608695652173913
5624,"TOLBENT_NTAX",6
5624,"TOLBENT_SUM",51
5624,"TOLBENT_PROP",0.443478260869565
5624,"COTTID_NTAX",0
5624,"COTTID_SUM",0
5624,"COTTID_PROP",0
5628,"TOTAL",241
5628,"BENT_NTAX",11
5628,"BENT_SUM",44
5628,"BENT_PROP",0.182572614107884
5628,"CYPR_NTAX",8
5628,"CYPR_SUM",183
5628,"CYPR_PROP",0.759336099585062
5628,"MODTOL_NTAX",3
5628,"MODTOL_SUM",16
5628,"MODTOL_PROP",0.0663900414937759
5628,"TOLBENT_NTAX",5
5628,"TOLBENT_SUM",24
5628,"TOLBENT_PROP",0.0995850622406639
5628,"COTTID_NTAX",0
5628,"COTTID_SUM",0
5628,"COTTID_PROP",0
5632,"TOTAL",143
5632,"BENT_NTAX",11
5632,"BENT_SUM",55
5632,"BENT_PROP",0.384615384615385
5632,"CYPR_NTAX",5
5632,"CYPR_SUM",93
5632,"CYPR_PROP",0.65034965034965
5632,"MODTOL_NTAX",1
5632,"MODTOL_SUM",5
5632,"MODTOL_PROP",0.034965034965035
5632,"TOLBENT_NTAX",7
5632,"TOLBENT_SUM",38
5632,"TOLBENT_PROP",0.265734265734266
5632,"COTTID_NTAX",0
5632,"COTTID_SUM",0
5632,"COTTID_PROP",0
5638,"TOTAL",193
5638,"BENT_NTAX",12
5638,"BENT_SUM",86
5638,"BENT_PROP",0.44559585492228
5638,"CYPR_NTAX",11
5638,"CYPR_SUM",134
5638,"CYPR_PROP",0.694300518134715
5638,"MODTOL_NTAX",1
5638,"MODTOL_SUM",11
5638,"MODTOL_PROP",0.0569948186528497
5638,"TOLBENT_NTAX",7
5638,"TOLBENT_SUM",63
5638,"TOLBENT_PROP",0.326424870466321
5638,"COTTID_NTAX",0
5638,"COTTID_SUM",0
5638,"COTTID_PROP",0
5640,"TOTAL",103
5640,"BENT_NTAX",7
5640,"BENT_SUM",33
5640,"BENT_PROP",0.320388349514563
5640,"CYPR_NTAX",8
5640,"CYPR_SUM",71
5640,"CYPR_PROP",0.689320388349515
5640,"MODTOL_NTAX",1
5640,"MODTOL_SUM",5
5640,"MODTOL_PROP",0.0485436893203883
5640,"TOLBENT_NTAX",3
5640,"TOLBENT_SUM",24
5640,"TOLBENT_PROP",0.233009708737864
5640,"COTTID_NTAX",0
5640,"COTTID_SUM",0
5640,"COTTID_PROP",0
5644,"TOTAL",430
5644,"BENT_NTAX",15
5644,"BENT_SUM",126
5644,"BENT_PROP",0.293023255813953
5644,"CYPR_NTAX",8
5644,"CYPR_SUM",329
5644,"CYPR_PROP",0.765116279069767
5644,"MODTOL_NTAX",5
5644,"MODTOL_SUM",30
5644,"MODTOL_PROP",0.0697674418604651
5644,"TOLBENT_NTAX",6
5644,"TOLBENT_SUM",84
5644,"TOLBENT_PROP",0.195348837209302
5644,"COTTID_NTAX",0
5644,"COTTID_SUM",0
5644,"COTTID_PROP",0
5646,"TOTAL",260
5646,"BENT_NTAX",9
5646,"BENT_SUM",67
5646,"BENT_PROP",0.257692307692308
5646,"CYPR_NTAX",7
5646,"CYPR_SUM",202
5646,"CYPR_PROP",0.776923076923077
5646,"MODTOL_NTAX",3
5646,"MODTOL_SUM",29
5646,"MODTOL_PROP",0.111538461538462
5646,"TOLBENT_NTAX",5
5646,"TOLBENT_SUM",53
5646,"TOLBENT_PROP",0.203846153846154
5646,"COTTID_NTAX",0
5646,"COTTID_SUM",0
5646,"COTTID_PROP",0
5648,"TOTAL",386
5648,"BENT_NTAX",13
5648,"BENT_SUM",142
5648,"BENT_PROP",0.367875647668394
5648,"CYPR_NTAX",10
5648,"CYPR_SUM",252
5648,"CYPR_PROP",0.652849740932642
5648,"MODTOL_NTAX",3
5648,"MODTOL_SUM",47
5648,"MODTOL_PROP",0.121761658031088
5648,"TOLBENT_NTAX",7
